,title,clean_description,cleaner_description,cluster
123,"Bauhaus and its Sites in Weimar, Dessau and Bernau","Between 1919 and 1933 the Bauhaus movement revolutionized architectural and aesthetic thinking and practice in the 20th century. The Bauhaus buildings in Weimar, Dessau and Bernau are fundamental representatives of Classical Modernism, directed towards a radical renewal of architecture and design. This property, which was inscribed on the World Heritage List in 1996, originally comprised buildings located in Weimar (Former Art School, the Applied Art School and the Haus Am Horn) and Dessau (Bauhaus Building, the group of seven Masters' Houses). The 2017 extension includes the Houses with Balcony Access in Dessau and the ADGB Trade Union School in Bernau as important contributions to the Bauhaus ideas of austere design, functionalism and social reform. ",bauhaus movement revolutionized architectural aesthetic thinking practice bauhaus weimar dessau bernau fundamental representative classical modernism directed towards radical renewal architecture design inscribed heritage list originally comprised located weimar former art school applied art school haus horn dessau bauhaus group seven master house extension includes house balcony access dessau adgb trade union school bernau important contribution bauhaus idea austere design functionalism social reform,0
124,Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,"Running north to south through the heart of historical Beijing, the Central Axis consists of former imperial palaces and gardens, sacrificial structures, and ceremonial and public buildings. Together they bear testimony to the evolution of the city and exhibits evidence of the imperial dynastic system and urban planning traditions of China. The location, layout, urban pattern, roads and design showcase the ideal capital city as prescribed in the Kaogongji, an ancient text known as the Book of Diverse Crafts. The area, between two parallel rivers, has been settled for about 3,000 years, but the Central Axis itself originated during the Yuan Dynasty (1271-1368) that established its capital, Dadu, in the northern part. The property also features later historical structures built during the Ming Dynasty (1368-1644) and improved during the Qing Dynasty (1636-1912). ",running north south heart historical beijing central axis consists former imperial palace garden sacrificial structure ceremonial public together bear testimony evolution exhibit evidence imperial dynastic system urban planning tradition china location layout urban pattern road design showcase ideal capital prescribed kaogongji ancient text known book diverse craft two parallel river settled central axis originated yuan dynasty established capital dadu northern part also feature later historical structure ming dynasty improved qing dynasty,2
125,Belfries of Belgium and France,"Twenty-three belfries in the north of France and the belfry of Gembloux in Belgium were inscribed in 2005, as an extension to the 32 Belgian belfries inscribed in 1999 as Belfries of Flanders and Wallonia. Built between the 11th and 17th centuries, they showcase the Roman, Gothic, Renaissance and Baroque styles of architecture. They are highly significant tokens of the winning of civil liberties. While Italian, German and English towns mainly opted to build town halls, in part of north-western Europe, greater emphasis was placed on building belfries. Compared with the keep (symbol of the seigneurs) and the bell-tower (symbol of the Church), the belfry, the third tower in the urban landscape, symbolizes the power of the aldermen. Over the centuries, they came to represent the influence and wealth of the towns. ",belfry north france belfry gembloux belgium inscribed extension belgian belfry inscribed belfry flanders wallonia showcase roman gothic renaissance baroque style architecture highly significant token winning civil liberty italian german english town mainly opted build town hall part europe greater emphasis placed belfry compared keep symbol seigneur symbol church belfry third tower urban landscape symbolizes power alderman came represent influence wealth town,0
126,Belize Barrier Reef Reserve System,"The coastal area of Belize is an outstanding natural system consisting of the largest barrier reef in the northern hemisphere, offshore atolls, several hundred sand cays, mangrove forests, coastal lagoons and estuaries. The system's seven sites illustrate the evolutionary history of reef development and are a significant habitat for threatened species, including marine turtles, manatees and the American marine crocodile. ",coastal belize natural system consisting largest barrier reef northern hemisphere offshore atoll several hundred sand cay mangrove forest coastal lagoon estuary system seven illustrate evolutionary history reef development significant habitat threatened specie including marine turtle manatee american marine crocodile,1
127,Benedictine Convent of St John at Müstair,"The Convent of Müstair, which stands in a valley in the Grisons, is a good example of Christian monastic renovation during the Carolingian period. It has Switzerland's greatest series of figurative murals, painted c. A.D. 800, along with Romanesque frescoes and stuccoes. ",convent müstair stand valley grison good christian monastic renovation carolingian switzerland greatest series figurative mural painted along romanesque fresco stucco,0
128,Bergpark Wilhelmshöhe,"Descending a long hill dominated by a giant statue of Hercules, the monumental water displays of Wilhelmshöhe were begun by Landgrave Carl of Hesse-Kassel in 1689 around an east-west axis and were developed further into the 19th century. Reservoirs and channels behind the Hercules Monument supply water to a complex system of hydro-pneumatic devices that supply the site’s large Baroque water theatre, grotto, fountains and 350-metre long Grand Cascade. Beyond this, channels and waterways wind across the axis, feeding a series of dramatic waterfalls and wild rapids, the geyser-like Grand Fountain which leaps 50m high, the lake and secluded ponds that enliven the Romantic garden created in the 18th century by Carl’s great-grandson, Elector Wilhelm I. The great size of the park and its waterworks along with the towering Hercules statue constitute an expression of the ideals of absolutist Monarchy while the ensemble is a remarkable testimony to the aesthetics of the Baroque and Romantic periods. ",descending long hill dominated giant statue hercules monumental water display wilhelmshöhe begun landgrave carl around axis developed reservoir channel behind hercules monument supply water complex system device supply large baroque water theatre grotto fountain long grand cascade beyond channel waterway wind across axis feeding series dramatic waterfall wild rapid grand fountain leap high lake secluded pond enliven romantic garden created carl elector wilhelm great size park waterworks along towering hercules statue constitute expression ideal absolutist monarchy ensemble remarkable testimony aesthetic baroque romantic,0
129,Berlin Modernism Housing Estates,"Berlin Modernism Housing Estates. The property consists of six housing estates that testify to innovative housing policies from 1910 to 1933, especially during the Weimar Republic, when the city of Berlin was particularly progressive socially, politically and culturally. The property is an outstanding example of the building reform movement that contributed to improving housing and living conditions for people with low incomes through novel approaches to town planning, architecture and garden design. The estates also provide exceptional examples of new urban and architectural typologies, featuring fresh design solutions, as well as technical and aesthetic innovations. Bruno Taut, Martin Wagner and Walter Gropius were among the leading architects of these projects which exercised considerable influence on the development of housing around the world. ",berlin modernism housing estate consists six housing estate testify innovative housing policy especially weimar republic berlin particularly progressive socially politically culturally reform movement contributed improving housing living condition people low income novel approach town planning architecture garden design estate also provide exceptional new urban architectural typology featuring fresh design solution well technical aesthetic innovation bruno taut martin wagner walter gropius among leading architect project exercised considerable influence development housing around,0
130,Białowieża Forest,"The Białowieża Forest World Heritage site, on the border between Poland and Belarus, is an immense range of primary forest including both conifers and broadleaved trees covering a total area of 141,885 hectares. Situated on the watershed of the Baltic Sea and Black Sea, this transboundary property is exceptional for the opportunities it offers for biodiversity conservation. It is home to the largest population of the property's iconic species, the European bison. ",białowieża forest heritage border poland belarus immense range primary forest including conifer broadleaved tree covering total hectare situated watershed baltic sea black sea transboundary exceptional opportunity offer biodiversity conservation home largest population iconic specie european bison,1
131,"Biblical Tels - Megiddo, Hazor, Beer Sheba","Tels (prehistoric settlement mounds), are characteristic of the flatter lands of the eastern Mediterranean, particularly Lebanon, Syria, Israel and eastern Turkey. Of more than 200 tels in Israel, Megiddo, Hazor and Beer Sheba are representative of those that contain substantial remains of cities with biblical connections. The three tels also present some of the best examples in the Levant of elaborate Iron Age, underground water-collecting systems, created to serve dense urban communities. Their traces of construction over the millennia reflect the existence of centralized authority, prosperous agricultural activity and the control of important trade routes. ",tels prehistoric settlement mound characteristic flatter land eastern mediterranean particularly lebanon syria israel eastern turkey tels israel megiddo hazor beer sheba representative contain substantial remains biblical connection three tels also present best levant elaborate iron underground system created serve dense urban community trace construction millennium reflect existence centralized authority prosperous agricultural activity control important trade route,2
132,Bikini Atoll Nuclear Test Site,"In the wake of World War II, in a move closely related to the beginnings of the Cold War, the United States of America decided to resume nuclear testing in the Pacific Ocean, on Bikini Atoll in the Marshall archipelago. After the displacement of the local inhabitants, 67 nuclear tests were carried out from 1946 to 1958, including the explosion of the first H-bomb (1952). Bikini Atoll has conserved direct tangible evidence that is highly significant in conveying the power of the nuclear tests, i.e. the sunken ships sent to the bottom of the lagoon by the tests in 1946 and the gigantic Bravo crater. Equivalent to 7,000 times the force of the Hiroshima bomb, the tests had major consequences on the geology and natural environment of Bikini Atoll and on the health of those who were exposed to radiation. Through its history, the atoll symbolises the dawn of the nuclear age, despite its paradoxical image of peace and of earthly paradise. This is the first site from the Marshall Islands to be inscribed on the World Heritage List. ",wake war ii move closely related beginning cold war united state america decided resume nuclear testing pacific ocean bikini atoll marshall archipelago displacement local inhabitant nuclear test carried including explosion first bikini atoll conserved direct tangible evidence highly significant conveying power nuclear test sunken ship sent bottom lagoon test gigantic bravo crater equivalent time force hiroshima bomb test major consequence geology natural environment bikini atoll health exposed radiation history atoll symbolises dawn nuclear despite paradoxical image peace earthly paradise first marshall island inscribed heritage list,1
133,Birka and Hovgården,"The Birka archaeological site is located on Björkö Island in Lake Mälar and was occupied in the 9th and 10th centuries. Hovgården is situated on the neighbouring island of Adelsö. Together, they make up an archaeological complex which illustrates the elaborate trading networks of Viking-Age Europe and their influence on the subsequent history of Scandinavia. Birka was also important as the site of the first Christian congregation in Sweden, founded in 831 by St Ansgar. ",birka archaeological located björkö island lake mälar occupied hovgården situated neighbouring island adelsö together make archaeological complex illustrates elaborate trading network europe influence subsequent history scandinavia birka also important first christian congregation sweden founded st ansgar,0
134,"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem","The inscribed property is situated 10 km south of Jerusalem on the site identified by Christian tradition as the birthplace of Jesus since the 2nd century. A church was first completed there in ad 339 and the edifice that replaced it after a fire in the 6th century retains elaborate floor mosaics from the original building. The site also includes Latin, Greek Orthodox, Franciscan and Armenian convents and churches, as well as bell towers, terraced gardens and a pilgrimage route. ",inscribed situated south jerusalem identified christian tradition birthplace jesus since church first completed ad edifice replaced fire retains elaborate floor mosaic original also includes latin greek orthodox franciscan armenian convent church well bell tower terraced garden pilgrimage route,0
135,Bisotun,"Bisotun is located along the ancient trade route linking the Iranian high plateau with Mesopotamia and features remains from the prehistoric times to the Median, Achaemenid, Sassanian, and Ilkhanid periods. The principal monument of this archaeological site is the bas-relief and cuneiform inscription ordered by Darius I, The Great, when he rose to the throne of the Persian Empire, 521 BC. The bas-relief portrays Darius holding a bow, as a sign of sovereignty, and treading on the chest of a figure who lies on his back before him. According to legend, the figure represents Gaumata, the Median Magus and pretender to the throne whose assassination led to Darius's rise to power. Below and around the bas-reliefs, there are ca. 1,200 lines of inscriptions telling the story of the battles Darius waged in 521-520 BC against the governors who attempted to take apart the Empire founded by Cyrus. The inscription is written in three languages. The oldest is an Elamite text referring to legends describing the king and the rebellions. This is followed by a Babylonian version of similar legends. The last phase of the inscription is particularly important, as it is here that Darius introduced for the first time the Old Persian version of his res gestae (things done). This is the only known monumental text of the Achaemenids to document the re-establishment of the Empire by Darius I. It also bears witness to the interchange of influences in the development of monumental art and writing in the region of the Persian Empire. There are also remains from the Median period (8th to 7th centuries B.C.) as well as from the Achaemenid (6th to 4th centuries B.C.) and post-Achaemenid periods. ",bisotun located along ancient trade route linking iranian high plateau mesopotamia feature remains prehistoric time median achaemenid sassanian ilkhanid principal monument archaeological cuneiform inscription ordered darius great rose throne persian empire bc portrays darius holding bow sign sovereignty treading chest figure lie back according legend figure represents gaumata median magus pretender throne whose assassination led darius rise power around ca line inscription telling story battle darius waged bc governor attempted take apart empire founded cyrus inscription written three language oldest elamite text referring legend describing king rebellion followed babylonian version similar legend last phase inscription particularly important darius introduced first time persian version gestae thing done known monumental text achaemenids document empire darius also bear witness interchange influence development monumental art writing persian empire also remains median well achaemenid,2
136,Blaenavon Industrial Landscape,"The area around Blaenavon is evidence of the pre-eminence of South Wales as the world's major producer of iron and coal in the 19th century. All the necessary elements can still be seen - coal and ore mines, quarries, a primitive railway system, furnaces, workers' homes, and the social infrastructure of their community. ",around blaenavon evidence south wale major producer iron coal necessary element still seen coal ore mine quarry primitive railway system furnace worker home social infrastructure community,2
137,Blenheim Palace,"Blenheim Palace, near Oxford, stands in a romantic park created by the famous landscape gardener 'Capability' Brown. It was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterized by an eclectic style and a return to national roots, it is a perfect example of an 18th-century princely dwelling. ",blenheim palace near oxford stand romantic park created famous landscape gardener brown presented english nation john churchill first duke marlborough recognition victory french bavarian troop characterized eclectic style return national root perfect princely dwelling,0
138,Blue and John Crow Mountains,"The site encompasses a rugged and extensively forested mountainous region in the south-east of Jamaica, which provided refuge first for the indigenous Tainos fleeing slavery and then for Maroons (former enslaved peoples). They resisted the European colonial system in this isolated region by establishing a network of trails, hiding places and settlements, which form the Nanny Town Heritage Route. The forests offered the Maroons everything they needed for their survival. They developed strong spiritual connections with the mountains, still manifest through the intangible cultural legacy of, for example, religious rites, traditional medicine and dances. The site is also a biodiversity hotspot for the Caribbean Islands with a high proportion of endemic plant species, especially lichens, mosses and certain flowering plants. ",encompasses rugged extensively forested mountainous jamaica provided refuge first indigenous tainos fleeing slavery maroon former enslaved people resisted european colonial system isolated establishing network trail hiding settlement form nanny town heritage route forest offered maroon everything needed survival developed strong spiritual connection mountain still manifest intangible legacy religious rite traditional medicine dance also biodiversity hotspot caribbean island high proportion endemic plant specie especially lichen moss certain flowering plant,1
139,Bolgar Historical and Archaeological Complex,"This property lies on the shores of the Volga River, south of its confluence with the River Kama, and south of the capital of Tatarstan, Kazan. It contains evidence of the medieval city of Bolgar, an early settlement of the civilization of Volga-Bolgars, which existed between the 7th and 15th centuries AD, and was the first capital of the Golden Horde in the 13th century. Bolgar represents the historical cultural exchanges and transformations of Eurasia over several centuries that played a pivotal role in the formation of civilizations, customs and cultural traditions. The property provides remarkable evidence of historic continuity and cultural diversity. It is a symbolic reminder of the acceptance of Islam by the Volga-Bolgars in AD 922 and remains a sacred pilgrimage destination to the Tatar Muslims. ",lie shore volga river south confluence river kama south capital tatarstan kazan contains evidence medieval bolgar settlement civilization existed ad first capital golden horde bolgar represents historical exchange transformation eurasia several played pivotal role formation civilization custom tradition provides remarkable evidence continuity diversity symbolic reminder acceptance islam ad remains sacred pilgrimage destination tatar muslim,2
140,"Bordeaux, Port of the Moon","The Port of the Moon, port city of Bordeaux in south-west France, is inscribed as an inhabited historic city, an outstanding urban and architectural ensemble, created in the age of the Enlightenment, whose values continued up to the first half of the 20th century, with more protected buildings than any other French city except Paris. It is also recognized for its historic role as a place of exchange of cultural values over more than 2,000 years, particularly since the 12th century due to commercial links with Britain and the Low Lands. Urban plans and architectural ensembles of the early 18th century onwards place the city as an outstanding example of innovative classical and neoclassical trends and give it an exceptional urban and architectural unity and coherence. Its urban form represents the success of philosophers who wanted to make towns into melting pots of humanism, universality and culture. ",port moon port bordeaux france inscribed inhabited urban architectural ensemble created enlightenment whose value continued first half protected french except paris also recognized role exchange value particularly since due commercial link britain low land urban plan architectural ensemble onwards innovative classical neoclassical trend give exceptional urban architectural unity coherence urban form represents success philosopher wanted make town melting pot humanism universality culture,0
141,Borobudur Temple Compounds,"This famous Buddhist temple, dating from the 8th and 9th centuries, is located in central Java. It was built in three tiers: a pyramidal base with five concentric square terraces, the trunk of a cone with three circular platforms and, at the top, a monumental stupa. The walls and balustrades are decorated with fine low reliefs, covering a total surface area of 2,500 m2. Around the circular platforms are 72 openwork stupas, each containing a statue of the Buddha. The monument was restored with UNESCO's help in the 1970s. ",famous buddhist temple dating located central java three tier pyramidal base five concentric square terrace trunk cone three circular platform top monumental stupa wall balustrade decorated fine low relief covering total surface around circular platform openwork stupa containing statue buddha monument restored unesco help,2
142,"Botanical Garden (Orto Botanico), Padua","The world's first botanical garden was created in Padua in 1545. It still preserves its original layout – a circular central plot, symbolizing the world, surrounded by a ring of water. Other elements were added later, some architectural (ornamental entrances and balustrades) and some practical (pumping installations and greenhouses). It continues to serve its original purpose as a centre for scientific research. ",first botanical garden created padua still preserve original layout circular central plot symbolizing surrounded ring water element added later architectural ornamental entrance balustrade practical pumping installation greenhouse continues serve original purpose centre scientific research,0
143,Bourges Cathedral,"The Cathedral of St Etienne of Bourges, built between the late 12th and late 13th centuries, is one of the great masterpieces of Gothic art and is admired for its proportions and the unity of its design. The tympanum, sculptures and stained-glass windows are particularly striking. Apart from the beauty of the architecture, it attests to the power of Christianity in medieval France. ",cathedral st etienne bourges late late one great masterpiece gothic art admired proportion unity design tympanum sculpture window particularly striking apart beauty architecture attests power christianity medieval france,0
144,Boyana Church,"Located on the outskirts of Sofia, Boyana Church consists of three buildings. The eastern church was built in the 10th century, then enlarged at the beginning of the 13th century by Sebastocrator Kaloyan, who ordered a second two storey building to be erected next to it. The frescoes in this second church, painted in 1259, make it one of the most important collections of medieval paintings. The ensemble is completed by a third church, built at the beginning of the 19th century. This site is one of the most complete and perfectly preserved monuments of east European medieval art. ",located outskirt sofia boyana church consists three eastern church enlarged beginning sebastocrator kaloyan ordered second two storey erected next fresco second church painted make one important collection medieval painting ensemble completed third church beginning one complete perfectly preserved monument east european medieval art,0
145,Brâncuși Monumental Ensemble of Târgu Jiu,"Austere, contemplative, yet accessible, the monumental ensemble of Târgu Jiu was created in 1937-1938 by Constantin Brâncuși, an influential pioneer of abstract sculpture, to commemorate those who died defending the city during the First World War. Located in two parks connected by the narrow Avenue of Heroes, the property includes the monumental ensemble of sculptural installations and the pre-existing Church of the Holy Apostles Peter and Paul, located on the axis. The remarkable fusion of abstract sculpture, landscape architecture, engineering, and urban planning conceived by Constantin Brâncuși goes far beyond the local wartime episode to offer an original vision of the human condition. ",austere contemplative yet accessible monumental ensemble târgu jiu created constantin brâncuși influential pioneer abstract sculpture commemorate died defending first war located two park connected narrow avenue hero includes monumental ensemble sculptural installation church holy apostle peter paul located axis remarkable fusion abstract sculpture landscape architecture engineering urban planning conceived constantin brâncuși go far beyond local wartime episode offer original vision human condition,0
146,Brasilia,"Brasilia, a capital created ex nihilo in the centre of the country in 1956, was a landmark in the history of town planning. Urban planner Lucio Costa and architect Oscar Niemeyer intended that every element – from the layout of the residential and administrative districts (often compared to the shape of a bird in flight) to the symmetry of the buildings themselves – should be in harmony with the city's overall design. The official buildings, in particular, are innovative and imaginative. ",brasilia capital created ex nihilo centre country landmark history town planning urban planner lucio costa architect oscar niemeyer intended every element layout residential administrative district often compared shape bird flight symmetry harmony overall design official particular innovative imaginative,0
147,Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,"Peaks of the Southern Atlantic submarine ridge form the Fernando de Noronha Archipelago and Rocas Atoll off the coast of Brazil. They represent a large proportion of the island surface of the South Atlantic and their rich waters are extremely important for the breeding and feeding of tuna, shark, turtle and marine mammals. The islands are home to the largest concentration of tropical seabirds in the Western Atlantic. Baia de Golfinhos has an exceptional population of resident dolphin and at low tide the Rocas Atoll provides a spectacular seascape of lagoons and tidal pools teeming with fish. ",peak southern atlantic submarine ridge form fernando de noronha archipelago rocas atoll coast brazil represent large proportion island surface south atlantic rich water extremely important breeding feeding tuna shark turtle marine mammal island home largest concentration tropical seabird western atlantic baia de golfinhos exceptional population resident dolphin low tide rocas atoll provides spectacular seascape lagoon tidal pool teeming fish,1
148,Brimstone Hill Fortress National Park,"Brimstone Hill Fortress National Park is an outstanding, well-preserved example of 17th- and 18th-century military architecture in a Caribbean context. Designed by the British and built by African slave labour, the fortress is testimony to European colonial expansion, the African slave trade and the emergence of new societies in the Caribbean. ",brimstone hill fortress national park military architecture caribbean context designed british african slave labour fortress testimony european colonial expansion african slave trade emergence new society caribbean,0
149,Bronze Age Burial Site of Sammallahdenmäki,"This Bronze Age burial site features more than 30 granite burial cairns, providing a unique insight into the funerary practices and social and religious structures of northern Europe more than three millennia ago. ",bronze burial feature granite burial cairn providing unique insight funerary practice social religious structure northern europe three millennium,2
150,Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,"The three main prehistoric sites of the Brú na Bóinne Complex, Newgrange, Knowth and Dowth, are situated on the north bank of the River Boyne 50 km north of Dublin. This is Europe's largest and most important concentration of prehistoric megalithic art. The monuments there had social, economic, religious and funerary functions. ",three main prehistoric brú na bóinne complex newgrange knowth dowth situated north bank river boyne north dublin europe largest important concentration prehistoric megalithic art monument social economic religious funerary function,2
151,Bryggen,"Bryggen, the old wharf of Bergen, is a reminder of the town's importance as part of the Hanseatic League's trading empire from the 14th to the mid-16th century. Many fires, the last in 1955, have ravaged the characteristic wooden houses of Bryggen. Its rebuilding has traditionally followed old patterns and methods, thus leaving its main structure preserved, which is a relic of an ancient wooden urban structure once common in Northern Europe. Today, some 62 buildings remain of this former townscape. ",bryggen wharf bergen reminder town importance part hanseatic league trading empire many fire last ravaged characteristic wooden house bryggen rebuilding traditionally followed pattern method thus leaving main structure preserved relic ancient wooden urban structure common northern europe today remain former townscape,0
152,"Budapest, including the Banks of the Danube, the Buda Castle Quarter and Andrássy Avenue","This site has the remains of monuments such as the Roman city of Aquincum and the Gothic castle of Buda, which have had a considerable influence on the architecture of various periods. It is one of the world's outstanding urban landscapes and illustrates the great periods in the history of the Hungarian capital. ",remains monument roman aquincum gothic castle buda considerable influence architecture various one urban landscape illustrates great history hungarian capital,0
153,Buddhist Monuments at Sanchi,"On a hill overlooking the plain and about 40 km from Bhopal, the site of Sanchi comprises a group of Buddhist monuments (monolithic pillars, palaces, temples and monasteries) all in different states of conservation most of which date back to the 2nd and 1st centuries B.C. It is the oldest Buddhist sanctuary in existence and was a major Buddhist centre in India until the 12th century A.D. ",hill overlooking plain bhopal sanchi comprises group buddhist monument monolithic pillar palace temple monastery different state conservation date back oldest buddhist sanctuary existence major buddhist centre india,2
154,Buddhist Monuments in the Horyu-ji Area,"There are around 48 Buddhist monuments in the Horyu-ji area, in Nara Prefecture. Several date from the late 7th or early 8th century, making them some of the oldest surviving wooden buildings in the world. These masterpieces of wooden architecture are important not only for the history of art, since they illustrate the adaptation of Chinese Buddhist architecture and layout to Japanese culture, but also for the history of religion, since their construction coincided with the introduction of Buddhism to Japan from China by way of the Korean peninsula. ",around buddhist monument nara prefecture several date late making oldest surviving wooden masterpiece wooden architecture important history art since illustrate adaptation chinese buddhist architecture layout japanese culture also history religion since construction coincided introduction buddhism japan china way korean peninsula,2
155,Buddhist Ruins of Takht-i-Bahi and Neighbouring City Remains at Sahr-i-Bahlol,"The Buddhist monastic complex of Takht-i-Bahi (Throne of Origins) was founded in the early 1st century. Owing to its location on the crest of a high hill, it escaped successive invasions and is still exceptionally well preserved. Nearby are the ruins of Sahr-i-Bahlol, a small fortified city dating from the same period. ",buddhist monastic complex throne origin founded owing location crest high hill escaped successive invasion still exceptionally well preserved nearby ruin small fortified dating,2
156,Budj Bim Cultural Landscape,"The Budj Bim Cultural Landscape, located in the traditional Country of the Gunditjmara people in south-eastern Australia, consists of three serial components containing one of the world's most extensive and oldest aquaculture systems. The Budj Bim lava flows provide the basis for the complex system of channels, weirs and dams developed by the Gunditjmara in order to trap, store and harvest kooyang (short-finned eel – Anguilla australis). The highly productive aquaculture system provided an economic and social base for Gunditjmara society for six millennia. The Budj Bim Cultural Landscape is the result of a creational process narrated by the Gunditjmara as a deep time story, referring to the idea that they have always lived there. From an archaeological perspective, deep time represents a period of at least 32,000 years. The ongoing dynamic relationship of Gunditjmara and their land is nowadays carried by knowledge systems retained through oral transmission and continuity of cultural practice. ",budj bim landscape located traditional country gunditjmara people australia consists three serial component containing one extensive oldest aquaculture system budj bim lava flow provide basis complex system channel weir dam developed gunditjmara order trap store harvest kooyang eel anguilla australis highly productive aquaculture system provided economic social base gunditjmara society six millennium budj bim landscape result creational process narrated gunditjmara deep time story referring idea always lived archaeological perspective deep time represents least ongoing dynamic relationship gunditjmara land nowadays carried knowledge system retained oral transmission continuity practice,2
157,Burgos Cathedral,"Our Lady of Burgos was begun in the 13th century at the same time as the great cathedrals of the Ile-de-France and was completed in the 15th and 16th centuries. The entire history of Gothic art is summed up in its superb architecture and its unique collection of works of art, including paintings, choir stalls, reredos, tombs and stained-glass windows. ",lady burgos begun time great cathedral completed entire history gothic art summed superb architecture unique collection work art including painting choir stall reredos tomb window,0
158,Bursa and Cumalıkızık: the Birth of the Ottoman Empire,"This property is a serial nomination of eight component sites in the City of Bursa and the nearby village of Cumalıkızık, in the southern Marmara region. The site illustrates the creation of an urban and rural system establishing the Ottoman Empire in the early 14th century. The property embodies the key functions of the social and economic organization of the new capital which evolved around a civic centre. These include commercial districts of khans, kulliyes (religious institutions) integrating mosques, religious schools, public baths and a kitchen for the poor, as well as the tomb of Orhan Ghazi, founder of the Ottoman dynasty. One component outside the historic centre of Bursa is the village of Cumalıkızık, the only rural village of this system to show the provision of hinterland support for the capital. ",serial nomination eight component bursa nearby village cumalıkızık southern marmara illustrates creation urban rural system establishing ottoman empire embodies key function social economic organization new capital evolved around civic centre include commercial district khan kulliyes religious institution integrating mosque religious school public bath kitchen poor well tomb orhan ghazi founder ottoman dynasty one component outside centre bursa village cumalıkızık rural village system show provision hinterland support capital,2
159,Butrint,"Inhabited since prehistoric times, Butrint has been the site of a Greek colony, a Roman city and a bishopric. Following a period of prosperity under Byzantine administration, then a brief occupation by the Venetians, the city was abandoned in the late Middle Ages after marshes formed in the area. The present archaeological site is a repository of ruins representing each period in the city's development. ",inhabited since prehistoric time butrint greek colony roman bishopric following prosperity byzantine administration brief occupation venetian abandoned late middle marsh formed present archaeological repository ruin representing development,0
160,Bwindi Impenetrable National Park,"Located in south-western Uganda, at the junction of the plain and mountain forests, Bwindi Park covers 32,000 ha and is known for its exceptional biodiversity, with more than 160 species of trees and over 100 species of ferns. Many types of birds and butterflies can also be found there, as well as many endangered species, including the mountain gorilla. ",located uganda junction plain mountain forest bwindi park cover ha known exceptional biodiversity specie tree specie fern many type bird butterfly also found well many endangered specie including mountain gorilla,1
161,Byblos,"The ruins of many successive civilizations are found at Byblos, one of the oldest Phoenician cities. Inhabited since Neolithic times, it has been closely linked to the legends and history of the Mediterranean region for thousands of years. Byblos is also directly associated with the history and diffusion of the Phoenician alphabet. ",ruin many successive civilization found byblos one oldest phoenician inhabited since neolithic time closely linked legend history mediterranean thousand byblos also directly associated history diffusion phoenician alphabet,2
162,Cahokia Mounds State Historic Site,"Cahokia Mounds, some 13 km north-east of St Louis, Missouri, is the largest pre-Columbian settlement north of Mexico. It was occupied primarily during the Mississippian period (800–1400), when it covered nearly 1,600 ha and included some 120 mounds. It is a striking example of a complex chiefdom society, with many satellite mound centres and numerous outlying hamlets and villages. This agricultural society may have had a population of 10–20,000 at its peak between 1050 and 1150. Primary features at the site include Monks Mound, the largest prehistoric earthwork in the Americas, covering over 5 ha and standing 30 m high. ",cahokia mound st louis missouri largest settlement north mexico occupied primarily mississippian covered nearly ha included mound striking complex chiefdom society many satellite mound centre numerous outlying hamlet village agricultural society may population peak primary feature include monk mound largest prehistoric earthwork america covering ha standing high,2
163,Caliphate City of Medina Azahara,"The Caliphate city of Medina Azahara is an archaeological site of a city built in the mid-10th century CE by the Umayyad dynasty as the seat of the Caliphate of Cordoba. After prospering for several years, it was laid to waste during the civil war that put an end to the Caliphate in 1009-1010. The remains of the city were forgotten for almost 1,000 years until their rediscovery in the early 20th century. This complete urban ensemble features infrastructure such as roads, bridges, water systems, buildings, decorative elements and everyday objects. It provides in-depth knowledge of the now vanished Western Islamic civilization of Al-Andalus, at the height of its splendour. ",caliphate medina azahara archaeological ce umayyad dynasty seat caliphate cordoba prospering several laid waste civil war put end caliphate remains forgotten almost rediscovery complete urban ensemble feature infrastructure road bridge water system decorative element everyday object provides knowledge vanished western islamic civilization height splendour,2
164,Camino Real de Tierra Adentro,"Camino Real de Tierra Adentro was the Royal Inland Road, also known as the Silver Route. The inscribed property consists of 55 sites and five existing World Heritage sites lying along a 1400 km section of this 2600 km route, that extends north from Mexico City to Texas and New Mexico, United States of America. The route was actively used as a trade route for 300 years, from the mid-16th to the 19th centuries, mainly for transporting silver extracted from the mines of Zacatecas, Guanajuato and San Luis Potosí, and mercury imported from Europe. Although it is a route that was motivated and consolidated by the mining industry, it also fostered the creation of social, cultural and religious links in particular between Spanish and Amerindian cultures. ",camino real de tierra adentro royal inland road also known silver route inscribed consists five existing heritage lying along section route extends north mexico texas new mexico united state america route actively used trade route mainly transporting silver extracted mine zacatecas guanajuato san luis potosí mercury imported europe although route motivated consolidated mining industry also fostered creation social religious link particular spanish amerindian culture,2
